,Frequency
Pre_702,79.0
Pre_1912,79.0
Pre_635,79.0
Pre_636,79.0
Pre_701,79.0
Pre_261,79.0
Pre_2044,79.0
Pre_1777,79.0
Pre_686,79.0
Pre_2894,79.0
Pre_409,79.0
Pre_404,79.0
Pre_1138,79.0
Pre_405,79.0
Pre_410,79.0
Pre_2852,79.0
Pre_408,79.0
Pre_2432,79.0
Pre_2277,79.0
Pre_2769,80.0
Pre_2254,80.0
Pre_2252,80.0
Pre_1112,80.0
Pre_1056,80.0
Pre_370,80.0
Pre_2255,80.0
Pre_1000,80.0
Pre_2737,80.0
Pre_2759,80.0
Pre_1546,80.0
Pre_1163,80.0
Pre_639,80.0
Pre_15,80.0
Pre_401,80.0
Pre_1888,80.0
Pre_164,80.0
Pre_2608,80.0
Pre_2807,80.0
Pre_160,80.0
Pre_6,80.0
Pre_2433,80.0
Pre_2863,80.0
Pre_1317,80.0
Pre_2460,80.0
Pre_1462,80.0
Pre_964,80.0
Pre_2257,80.0
Pre_979,80.0
Pre_995,81.0
Pre_150,81.0
Pre_36,81.0
Pre_406,81.0
Pre_2111,81.0
Pre_2138,81.0
Pre_685,81.0
Pre_1016,81.0
Pre_1798,81.0
Pre_403,81.0
Pre_2636,81.0
Pre_2565,81.0
Pre_2186,81.0
Pre_690,82.0
Pre_2450,82.0
Pre_1146,82.0
Pre_165,82.0
Pre_640,82.0
Pre_412,82.0
Pre_698,82.0
Pre_448,82.0
Pre_279,82.0
Pre_222,82.0
Pre_411,82.0
Pre_1030,82.0
Pre_1679,83.0
Pre_2253,83.0
Pre_572,83.0
Pre_2033,83.0
Pre_2849,83.0
Pre_535,83.0
Pre_689,83.0
Pre_881,83.0
Pre_1295,83.0
Pre_2256,83.0
Pre_1593,83.0
Pre_1039,83.0
Pre_2750,83.0
Pre_1186,83.0
Pre_1187,83.0
Pre_1598,83.0
Pre_119,83.0
Pre_374,83.0
Pre_544,84.0
Pre_2059,84.0
Pre_2061,84.0
Pre_518,84.0
Pre_566,84.0
Pre_797,84.0
Pre_744,84.0
Pre_188,84.0
Pre_2018,84.0
Pre_2291,84.0
